ID	author	Name	significant	significant direction	direction description	Delete	Country.of.Expirement	Size..n.	Industry.of.Participant	Gender	Nature.Type	Real.Exposure.Type	Exposure.Time..Mins.	Before_COVID	During_COVID	After_COVID	Field	Lab	Survey	Interviews	Stimuli_Visual	Stimuli_Auditory	Stimuli_Tactile	Stimuli_Olfactory	Stimuli_Thermal	Subjective	Objective	Row_ID	dep_var_1	dep_var_2	dep_var_3	dep_var_4	dep_var_5	dep_var_6	dep_var_7	dep_var_8	dep_var_9	assmnt_1	assmnt_2	assmnt_3	assmnt_4	assmnt_5	assmnt_6	assmnt_7	assmnt_8	assmnt_9	phys_assmnt_1	phys_assmnt_2	phys_assmnt_3	phys_assmnt_4	phys_assmnt_5	phys_assmnt_6	phys_assmnt_7	phys_assmnt_8	phys_assmnt_9	Column1	Column2	Column3	Column4	Column5
13	Chow and Lau (2015)	Nature Gives Us Strength: Exposure to Nature Counteracts Ego-Depletion	yes	positive	improvement	NA	Hong Kong	42	Academia	Mixed	Artificial/Virtual	NA	6	1	0	0	0	1	0	0	1	0	0	0	0	0	1	17	Self-Regulatory Performance	Logical Reasoning	Affective States	Change in Logical Reasoning Performance	NA	NA	NA	NA	NA	Persistence on unsolvable anagrams (Experiment 1)	GRE-style analytic questions (Experiments 2 and 3)	"Brief Mood Introspection Scale (BMIS), PANAS"	GRE-type Logical Reasoning Questions	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
14	Cordoza et al. (2018)	Impact of Nurses Taking Daily Work Breaks in a Hospital Garden on Burnout	yes	negative	reduction	NA	United States	21	Healthcare	"Mostly Female (75%+)
"	Real	Direct	15	1	0	0	1	0	0	0	1	1	0	0	0	1	0	21	"Burnout (Emotional Exhaustion, Depersonalization, Personal Accomplishment)"	Present Functioning Visual Analog Scale (VAS)	NA	NA	NA	NA	NA	NA	NA	Maslach Burnout Inventory-Human Services Survey (MBI-HSS)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
15	Craig et al. (2015)	Digital Nature Benefits Typical Individuals but not Individuals with Depressive Symptoms	yes	negative	reduction (only with prolonged actual nature exposure)	NA	United States	48	NA	Mixed	Artificial/Virtual	Indirect	4.1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	23	Depressive Symptoms	Sustained Attention	NA	NA	NA	NA	NA	NA	NA	Center for Epidemiological Studies Depression Scale (CES-D)	Sustained Attention to Response Task (SART)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
16	Detweiler et al. (2015)	"Horticultural Therapy: A Pilot Study on Modulating Cortisol Levels and Indices of Substance Craving, Posttraumatic Stress Disorder, Depression, and Quality of Life in Veterans"	no			NA	United States	24	NA	Mostly Male (75%+)	Real	Direct	60	1	0	0	1	0	1	1	1	0	1	0	0	1	1	26	Quality of Life	Depression	PTSD Symptoms	Alcohol Craving	Cortisol Levels	NA	NA	NA	NA	Quality of Life Enjoyment and Satisfaction Questionnaire (Q-LES-Q-SF)	Center for Epidemiologic Studies Depression Scale (CES-D)	Posttraumatic Stress Disorder Checklist (PCLC)	Alcohol Craving Questionnaire (ACQ-NOW)	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salivary Cortisol Sampling	NA	NA	NA	NA					
17	Dhont et al. (2020)	Conducting research in Radiation Oncology remotely during the COVID-19 pandemic: Coping with isolation	yes	positive	increased anxiety level	NA	Mix	543	Oncology Researchers	Mixed	NA	NA	0	0	1	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	19	Anxiety	Depression	Productivity	NA	NA	NA	NA	NA	NA	Hospital Anxiety and Depression Scale (HADS-A)	Hospital Anxiety and Depression Scale (HADS-D)	Self-reported level of productivity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
18	Dreyer et al. (2018)	Beyond Exposure to Outdoor Nature: Exploration of the Benefits of a Green Building's Indoor Environment on Wellbeing				NA	Canada	214	Mixed	Mixed	NA	NA	0	1	0	0	1	0	1	0	NA	NA	NA	NA	NA	1	0	29	Hedonic Wellbeing	Eudaimonic Wellbeing	Negative Wellbeing	NA	NA	NA	NA	NA	NA	Scale of Positive and Negative Experiences (SPANE)	Flourishing Scale	Patient Health Questionnaire-4 (PHQ-4)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
19	Elbertse and Steenbekkers (2023)	The effect of three different volumes of indoor greenery on employee well-being	no			NA	Netherlands	33	Academia	Mixed	Real	Direct	30	0	0	1	0	1	0	0	1	0	0	0	0	1	1	106	Productivity (Sudoku Completion)	Stress (Heart Rate)	NA	NA	NA	NA	NA	NA	NA	Number of correctly filled sudoku cells	NA	NA	NA	NA	NA	NA	NA	NA	NA	Fitbit Charge 4 (Photoplethysmography technology)	NA	NA	NA	NA	NA	NA	NA					
20	Elsadek et al. (2024)	"High-rise window views: Evaluating the physiological and psychological impacts of green, blue, and built environments"	yes	negative	"Reduced stress and anxiety, especially for green and blue views"	NA	China	45	Academia	Mixed	Artificial/Virtual	Indirect	4	0	0	1	0	1	0	0	1	0	0	0	0	0	1	52	Anxiety	Relaxation and Comfort	Brain Activity (Alpha Waves)	Heart Rate Variability (HRV)	Skin Conductance (SC)	Skin Temperature (ST)	NA	NA	NA	State-Trait Anxiety Inventory (STAI)	Modified Semantic Differential (SD) Questionnaire	NA	NA	NA	NA	NA	NA	NA	NA	NA	Electroencephalography (EEG)	Photoplethysmography (PPG)	Electrodermal Activity (EDA) Sensor	Skin Temperature Sensor	NA	NA	NA					
21	Fukumoto et al. (2024)	The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers	yes	positive	"Japanese design reduced negative affect, while tropical design promoted positive mood states"	NA	Japan	18	Office worker	Mixed	Real	Direct	5	0	0	1	0	1	0	0	1	0	0	0	0	1	0	107	Positive and Negative Affect (PANAS)	Cognitive Performance	Brain Activity (EEG)	NA	NA	NA	NA	NA	NA	Positive and Negative Affect Schedule (PANAS)	"Stroop Task, 1-Back, and 2-Back Tasks"	NA	NA	NA	NA	NA	NA	NA	NA	NA	Electroencephalogram (EEG)	NA	NA	NA	NA	NA	NA					
22	Grahn et al. (2017)	Longer nature-based rehabilitation may contribute to a faster return to work in patients with reactions to severe stress and/or depression	yes	positive	Higher RTW rates in longer rehabilitation programs (24 weeks > 12 weeks > 8 weeks)	NA	Sweden	106	Healthcare	"Mostly Female (75%+)
"	Real	Direct	210	1	0	0	1	0	1	0	1	1	1	0	0	1	0	71	Return to Work (RTW)	Psychological Response	Sense of Coherence (SoC)	Personal Control	NA	NA	NA	NA	NA	Self-rated return to work (custom questionnaire)	Psychological Response	Sense of Coherence Scale (SoC-29)	Mastery Scale	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
23	Grassini et al. (2022)	Watching Nature Videos Promotes Physiological Restoration: Evidence From the Modulation of Alpha Waves in Electroencephalography	yes	positive		NA	Finland	24	Academia	Mixed	Artificial/Virtual	Indirect	12	0	0	1	0	1	0	0	1	0	0	0	0	1	1	119	Brain Activity (Alpha Waves)	Electrodermal Activity (EDA)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Electroencephalography (EEG)	Electrodermal Activity (EDA) Measurement	NA	NA	NA	NA	NA	NA	NA					
24	Hassan and Deshun (2023)	Promoting adult health: the neurophysiological benefits of watering plants and engaging in mental tasks within designed environments	yes	positive	increased relaxation and cognitive focus	NA	China	50	NA	NA	Real	Direct	15	0	0	1	0	0	0	0	1	0	1	0	0	1	1	48	Brain Activity (Alpha/Beta Waves)	Blood Pressure	Anxiety	NA	NA	NA	NA	NA	NA	NA	NA	State-Trait Anxiety Inventory (STAI)	NA	NA	NA	NA	NA	NA	Electroencephalography (EEG)	Blood Pressure Measurement (Omron HEM-7011)	NA	NA	NA	NA	NA	NA	NA					
25	Heilmayr and Miller (2021)	"Nature Exposure Achieves Comparable Health and Well-Being Improvements as Best Practice, Positive Psychology Interventions"	yes	positive	improved	NA	United States	104	Academia	"Mostly Female (75%+)
"	Real	Direct	120	0	1	0	1	0	1	0	1	0	0	0	0	1	0	50	Physical Health Composite	Well-Being Composite	Stress	Fatigue Composite	Nature Identity Composite	NA	NA	NA	NA	Short Form-36 Health Survey (SF-36)	"Comprehensive Inventory of Thriving (CIT), Satisfaction with Life Scale (SWLS)"	Perceived Stress Scale (PSS-14)	"PROMIS Fatigue Scale, SF-36 Energy Subscale"	"Environmental Identity Scale, Connectedness to Nature Scale"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
26	Herrera et al. (2018)	Greenness and job-related chronic stress in young adults: a prospective cohort study in Germany				NA	Germany	1632	Academia	Mixed	NA	NA	0	1	0	0	0	0	1	0	NA	NA	NA	NA	NA	1	1	51	Work Discontent	Work Overload	Greenness Exposure	NA	NA	NA	NA	NA	NA	Trier Inventory for Chronic Stress (TICS)	Trier Inventory for Chronic Stress (TICS)	Normalized Difference Vegetation Index (NDVI)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
27	Hitter et al. (2019)	The Effect of Therapeutic Horticulture Activities on People in Depression and Kynurenine Pathways	yes	negative	Decrease in depression levels post-therapy	NA	Romania	8	Academia	"Mostly Female (75%+)
"	Real	Direct	240	1	0	0	1	0	0	0	1	0	0	0	0	1	1	53	Depression	Kynurenine Levels	Kynurenic Acid Levels	NA	NA	NA	NA	NA	NA	Beck Depression Inventory (BDI-II)	NA	NA	NA	NA	NA	NA	NA	NA	NA	Spectrophotometric Analysis of Urine Samples	Spectrophotometric Analysis of Urine Samples	NA	NA	NA	NA	NA	NA					
28	Honold et al. (2016)	"Restoration in Urban Spaces: Nature Views From Home, Greenways, and Public Parks"				NA	Germany	32	NA	Mixed	NA	NA	0	1	0	0	1	0	1	1	NA	NA	NA	NA	NA	1	1	57	Life Satisfaction	General Health	Stress (HPA Activation)	NA	NA	NA	NA	NA	NA	Satisfaction With Life Scale (SWLS)	Single-item self-assessment derived from SF-36	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hair Cortisol Sampling	NA	NA	NA	NA	NA	NA					
29	Huang et al. (2023)	"Do objective and subjective traffic-related pollution, physical activity and nature exposure affect mental wellbeing? Evidence from Shenzhen, China"				NA	China	1772	Mixed	Mixed	NA	NA	0	0	1	0	0	0	1	0	NA	NA	NA	NA	NA	1	1	28	Mental Wellbeing	Happiness	NA	NA	NA	NA	NA	NA	NA	"World Health Organization Well-Being Index (WHO-5), Short Warwick-Edinburgh Mental Wellbeing Scale (SWEMWBS)"	Single-item Happiness Scale	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
30	Hyv”nen et al. (2018)	Profiles of Nature Exposure and Outdoor Activities Associated With Occupational Well-Being Among Employees				NA	Finland	783	Mixed	"Mostly Female (75%+)
"	NA	NA	0	1	0	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	60	Work Engagement	Burnout	Work Engagement	NA	NA	NA	NA	NA	NA	Utrecht Work Engagement Scale (UWES)	Bergen Burnout Inventory (BBI-9)	Utrecht Work Engagement Scale	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
31	Imperatori et al. (2023)	Exposure to nature is associated with decreased functional connectivity within the distress network: A resting state EEG study	yes	positive	Increased positive emotions after nature exposure	NA	Italy	53	Academia	"Mostly Female (75%+)
"	Artificial/Virtual	NA	4	0	0	1	0	1	0	0	1	0	0	0	0	1	1	61	Positive Affect	Subjective Vitality	Functional Connectivity in Distress Network	NA	NA	NA	NA	NA	NA	Positive and Negative Affect Schedule (PANAS)	Subjective Vitality Scale (SVS-S)	NA	NA	NA	NA	NA	NA	NA	NA	NA	Electroencephalography (EEG)	NA	NA	NA	NA	NA	NA					
32	Jabbar and Mohd Yusoff (2022)	Assessing and Modelling the role of urban green spaces for human well-being in Lahore (Pakistan)	yes	positive	improvement	NA	Pakistan	1050	Mixed	Mixed	NA	NA	0	0	1	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	9	Physical Well-being	Psychological Well-being	Mental Well-being	Social Well-being	Subjective Well-being	NA	NA	NA	NA	Self-reported General Health Scale	Carol Ryff Psychological Well-being Scale	Warwick Edinburgh Mental Well-being Scale (WEMWBS)	Keyes? Social Well-being Scale	Diener's Life Satisfaction Scale	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
33	Jang et al. (2019)	Assessment of Display and Events of Agro-Healing Experience Center for Visitors Satisfaction and Revisit Intention: A Case Study of 2018 Changwon Agricultural Technology Exhibition	yes	positive	improvement	NA	South Korea	274	NA	Mixed	NA	NA	0	1	0	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	10	Perceived Restorativeness	Mood States	Satisfaction	Loyalty	NA	NA	NA	NA	NA	Korean Perceived Restorativeness Scale (PRS)	Profile of Mood States (POMS)	Satisfaction Scale adapted by Lee (2016)	Loyalty Scale adapted by Gremler (1995)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
34	Jang et al. (2021)	Analysis of preference in plant fragrances and psychological evaluation of firefighters				NA		101	Firefighters	Mostly Male (75%+)	NA	NA	0	0	0	0	1	0	1	0	NA	NA	NA	NA	NA	1	0	67	Post-Traumatic Stress Symptoms	Job Stress	Emotional Intelligence	Job Satisfaction	NA	NA	NA	NA	NA	Impact of Event Scale-Revised (IES-R)	Korean Occupational Stress Scale Short Form (KOSS-SF)	Wong and Law Emotional Intelligence Scale (adapted)	Yun?s Job Satisfaction Scale	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
35	Jang et al. (2022)	Difference in Emotional Evaluation according to the Preference of Coleus Cultivars				NA	South Korea	136	Mixed	Mixed	Artificial/Virtual	NA	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	68	Perceived Stress	Quality of Life	Emotional Response	NA	NA	NA	NA	NA	NA	Korean Perceived Stress Scale (PSS-K)	World Health Organization Quality of Life Assessment Instrument (WHOQOL-BREF)	Semantic Differential (SD) Method	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
36	Jang et al. (2023)	"The Effect of Police Officers' Gardening Activity Level, Plant Preferences, and Key Variables on Resilience"				NA	South Korea	105	Police Officers	Mostly Male (75%+)	NA	NA	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	102	Resilience	Stress Level	Job Burnout	Job Satisfaction	Emotional Response to Plant Colors	NA	NA	NA	NA	Shin Resilience Scale (27 items)	Korean Perceived Stress Scale (PSS-K)	Maslach Burnout Inventory-General Survey (MBI-GS)	Job Satisfaction Scale for Police Officers	Semantic Differential (SD) Scale	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
37	Jin et al. (2022)	Attention and Emotion Recovery Effects of Urban Parks during COVID-19?Psychological Symptoms as Moderators	yes	positive	improvement	NA	China	125	Academia	Mixed	Artificial/Virtual	NA	10	0	1	0	0	1	0	0	1	1	0	0	0	1	1	11	Attention Function	Emotional response	Emotional Arousal	Stress Symptoms	Depressive Symptoms	NA	NA	NA	NA	Backward Digit Span Task (BDS)	Emotional Valence	Self-Assessment Manikin Scale (SAM)	Perceived Stress Scale (PSS-10)	Patient Health Questionnaire (PHQ-9)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
38	Jin et al. (2023)	"Stress Recovery Effects of Viewing Simulated Urban Parks: Landscape Types, Depressive Symptoms, and Gender Differences"	yes	negative		NA	China	123	Academia	Mixed	Artificial/Virtual	NA	10	0	1	0	0	1	0	0	1	1	0	0	0	1	1	99	Perceived Stress	NA	NA	NA	NA	NA	NA	NA	NA	Visual Analog Scale (VAS)	NA	NA	NA	NA	NA	NA	NA	NA	Skin Conductance Level (SCL)	NA	NA	NA	NA	NA	NA	NA	NA					
39	Johnson et al. (2022)	Water and Meadow Views Both Afford Perceived but Not Performance-Based Attention Restoration: Results From Two Experimental Studies	yes	positive	Both water and meadow views were perceived as more restorative than urban views	NA	Australia	68	NA	Mixed	Artificial/Virtual	NA	0.67	1	0	0	0	1	0	0	1	0	0	0	0	1	1	121	Perceived Restorativeness	Cognitive Lapses (Attention)	Pupil Diameter (Alertness)	NA	NA	NA	NA	NA	NA	Perceived Restorativeness Scale (PRS)	Sustained Attention to Response Task (SART)	NA	NA	NA	NA	NA	NA	NA	NA	NA	Tobii TX300 Eye-Tracking System	NA	NA	NA	NA	NA	NA					
40	Karanikola et al. (2016)	"A perceptual study of users? expectations of urban green infrastructure in Kalamaria, municipality of Greece"				NA	Kalamaria	385	Mixed	Mixed	NA	NA	0	1	0	0	0	0	0	1	NA	NA	NA	NA	NA	1	0	69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
41	Kim et al. (2023)	"The Influence of Urban Gardening Activities on Participants? Perceived Restorativeness, Resilience, Sense of Community and Stress"	yes	positive		NA	South Korea	90	Mixed	"Mostly Female (75%+)
"	Real	Direct	90	1	1	0	1	0	0	0	1	0	1	0	0	1	0	104	Perceived Restorativeness	Resilience	Sense of Community	Stress Levels	Cortisol (Stress Hormone)	NA	NA	NA	NA	Perceived Restorativeness Scale (PRS)	Connor?Davidson Resilience Scale (CD-RISC)	Sense of Community Index (SCI)	Brief Encounter Psychosocial Instrument (BEPSI)	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Human Cortisol ELISA Kit (DRG, Springfield, NJ, USA)"	NA	NA	NA	NA					
42	Koivisto et al. (2024)	A short simulated nature experience as an effective way to promote restoration from work-related stress	yes	positive	increased	NA	Finland	30	Academia	Mixed	Artificial/Virtual	Indirect	5	0	1	1	0	1	0	0	1	0	0	0	0	1	1	3	Subjective Restoration	Emotional Arousal	Relaxation	Nature Connectedness	NA	NA	NA	NA	NA	Restoration Outcome Scale (ROS)		NA	Extended Inclusion of Nature in Self (EINS)	NA	NA	NA	NA	NA	NA	Electrodermal Activity (EDA)	Electroencephalography (EEG)	NA	NA	NA	NA	NA	NA					
43	Korpela et al. (2017)	"Nature at home and at work: Naturally good? Links between window views, indoor plants, outdoor activities and employee well-being over one year"				NA	Finland	841	Mixed	Mixed	NA	NA	0	0	1	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	81	Vitality	Vigor	NA	NA	NA	NA	NA	NA	NA	Subjective Vitality Scale (SVS)	Utrecht Work Engagement Scale (UWES)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
44	Latini et al. (2024)	"Investigating the impact of greenery elements in office environments on cognitive performance, visual attention and distraction: An eye-tracking pilot-study in virtual reality"	yes	positive	Improved accuracy and reduced time for cognitive tasks in offices with greenery	NA	Italy	63	Academia	Mixed		Indirect	3	0	0	1	0	1	0	0	1	0	0	0	0	1	1	62	Cognitive Performance	Visual Attention	NA	NA	NA	NA	NA	NA	NA	"Stroop Test, Magnitude-Parity Test, Operation Span Task (OSPAN)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Eye-Tracking Metrics (fixations, saccades, blinks)"	NA	NA	NA	NA	NA	NA	NA					
45	Lee and Oh (2021)	Changes in Electroencephalographic Results and Heart Rate Variability after Exposure to Green Landscape Photographs Correlated with Color Temperature and Illumination Level	yes	both		NA	South Korea	24	Academia	Mixed	Artificial/Virtual	Indirect	8.5	0	1	0	0	1	0	0	1	0	0	0	0	1	1	70	"Brainwave Activity (e.g., Alpha, Beta, Theta Waves)"	Heart Rate Variability	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Electroencephalography (EEG)	"Standard deviation of NN interval (SDNN), RMSSD"	NA	NA	NA	NA	NA	NA	NA					
46	Lee et al. (2022)	Effect of Apartment Community Garden Program on Sense of Community and Stress				NA	South Korea	32	NA	"Mostly Female (75%+)
"	Real	Direct	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	31	Sense of Community	Perceived Stress	Measured Stress (Biomarkers)	NA	NA	NA	NA	NA	NA	Sense of Community Scale (based on McMillan & Chavis theory)	Psychosocial Well-being Index Short Form (PWI-SF)	NA	NA	NA	NA	NA	NA	NA	NA	NA	uBioMacpa (Pulse Wave and HRV Measurement)	NA	NA	NA	NA	NA	NA					
